id,title,description,address,status,expirationDate,createAt,rejectionReason,approvedById,recruiterId,skills
1,DevOps Engineer,Lead the planning and delivery of new product features.,"101 High St, Chicago, IL",PAUSED,2025-12-30,2025-09-24,Unclear job description,3,8,"Python, REST API, React"
2,Cloud Architect,Develop and maintain mobile apps for iOS and Android.,"789 Broadway, Los Angeles, CA",APPROVED,2025-11-29,2025-10-25,Internal check required,5,3,"AWS, Java, MongoDB, Docker"
3,Full Stack Developer,Work across frontend and backend to deliver features.,"456 Market St, San Francisco, CA",PAUSED,2025-12-24,2025-09-04,Low budget for position,1,6,"React, PostgreSQL, Docker, TypeScript"
4,Cloud Architect,Design user-centered interfaces for web and mobile.,"789 Broadway, Los Angeles, CA",REJECTED,2025-11-23,2025-09-13,Does not meet requirements,5,9,"Django, Git"
5,Backend Developer,Develop responsive UI with modern frameworks.,"456 Market St, San Francisco, CA",PENDING,2025-12-25,2025-10-03,Unclear job description,4,6,"React, Docker, Kubernetes, MySQL"
6,QA Engineer,Analyze large datasets and prepare business insights.,"202 Ocean Ave, Miami, FL",EXPIRED,2025-12-18,2025-10-13,Internal check required,5,6,"Linux, React, Kubernetes, Git, Docker"
7,UI/UX Designer,Develop responsive UI with modern frameworks.,"123 Main St, New York, NY",APPROVED,2025-12-28,2025-09-17,Needs recruiter confirmation,1,7,"Python, TypeScript"
8,Product Manager,Architect cloud infrastructure for enterprise solutions.,"456 Market St, San Francisco, CA",EXPIRED,2025-12-04,2025-10-26,Does not meet requirements,2,5,"Git, Figma, PowerBI"
9,UI/UX Designer,Responsible for building scalable backend services.,"202 Ocean Ave, Miami, FL",EXPIRED,2025-12-11,2025-09-24,Does not meet requirements,2,2,"Spring Boot, MySQL"
10,Full Stack Developer,Design user-centered interfaces for web and mobile.,"789 Broadway, Los Angeles, CA",PENDING,2025-11-02,2025-10-05,Needs recruiter confirmation,3,1,"Node.js, MySQL, Kubernetes, Java"
11,Full Stack Developer,Work across frontend and backend to deliver features.,"202 Ocean Ave, Miami, FL",EXPIRED,2025-11-16,2025-09-17,Does not meet requirements,4,9,"PostgreSQL, TypeScript, Angular, Java, Docker"
12,UI/UX Designer,Work across frontend and backend to deliver features.,"101 High St, Chicago, IL",EXPIRED,2025-12-14,2025-10-10,Low budget for position,3,4,"Django, Node.js, Angular, Docker, MongoDB"
13,DevOps Engineer,Maintain CI/CD pipelines and automate deployments.,"789 Broadway, Los Angeles, CA",APPROVED,2025-11-30,2025-09-08,Does not meet requirements,2,4,"Spring Boot, MongoDB, REST API"
14,Mobile Developer,Responsible for building scalable backend services.,"456 Market St, San Francisco, CA",PAUSED,2025-12-17,2025-09-19,Internal check required,5,7,"Node.js, Angular, PostgreSQL"
15,Cloud Architect,Develop and maintain mobile apps for iOS and Android.,"456 Market St, San Francisco, CA",EXPIRED,2025-11-14,2025-09-06,Does not meet requirements,1,10,"Linux, Docker, Java, AWS"
16,Cloud Architect,Develop responsive UI with modern frameworks.,"101 High St, Chicago, IL",EXPIRED,2025-12-09,2025-10-25,Low budget for position,4,2,"AWS, MongoDB, REST API, Spring Boot"
17,Product Manager,Work across frontend and backend to deliver features.,"202 Ocean Ave, Miami, FL",PAUSED,2025-12-07,2025-10-21,Unclear job description,5,7,"Angular, Node.js"
18,Cloud Architect,Maintain CI/CD pipelines and automate deployments.,"123 Main St, New York, NY",PAUSED,2025-12-09,2025-10-07,Internal check required,4,3,"MongoDB, Figma, Linux, Kubernetes"
19,Frontend Engineer,Design user-centered interfaces for web and mobile.,"789 Broadway, Los Angeles, CA",EXPIRED,2025-12-18,2025-09-20,Internal check required,3,10,"Spring Boot, MongoDB, Java"
20,Cloud Architect,Maintain CI/CD pipelines and automate deployments.,"123 Main St, New York, NY",REJECTED,2025-12-31,2025-09-30,Insufficient experience,5,10,"Node.js, Java, Git, Angular"
21,QA Engineer,Lead the planning and delivery of new product features.,"123 Main St, New York, NY",REJECTED,2025-12-27,2025-08-28,Unclear job description,5,3,"PostgreSQL, Kubernetes, AWS, TypeScript"
22,Data Analyst,Architect cloud infrastructure for enterprise solutions.,"123 Main St, New York, NY",REJECTED,2025-11-02,2025-08-29,Low budget for position,4,7,"Node.js, PostgreSQL, Java"
23,QA Engineer,Develop responsive UI with modern frameworks.,"202 Ocean Ave, Miami, FL",PAUSED,2025-11-02,2025-09-03,Pending review update,1,6,"Git, Python, Node.js, PowerBI"
24,Backend Developer,Design user-centered interfaces for web and mobile.,"101 High St, Chicago, IL",APPROVED,2025-11-27,2025-10-15,Needs recruiter confirmation,3,3,"Linux, Figma, MySQL, Angular, Python"
25,Mobile Developer,Develop responsive UI with modern frameworks.,"456 Market St, San Francisco, CA",PENDING,2025-11-15,2025-10-13,Pending review update,5,5,"Node.js, REST API, MySQL"
26,Cloud Architect,Responsible for building scalable backend services.,"202 Ocean Ave, Miami, FL",ACTIVE,2025-12-08,2025-09-24,Pending review update,2,1,"PowerBI, REST API"
27,Mobile Developer,Responsible for building scalable backend services.,"101 High St, Chicago, IL",APPROVED,2025-11-03,2025-10-05,Pending review update,2,9,"Java, TypeScript, CI/CD"
28,UI/UX Designer,Design user-centered interfaces for web and mobile.,"789 Broadway, Los Angeles, CA",REJECTED,2025-11-27,2025-09-22,Unclear job description,1,4,"Django, PostgreSQL, TypeScript"
29,UI/UX Designer,Develop responsive UI with modern frameworks.,"456 Market St, San Francisco, CA",APPROVED,2025-12-10,2025-10-02,Needs recruiter confirmation,2,9,"Kubernetes, Linux, Django, REST API"
30,Frontend Engineer,Design user-centered interfaces for web and mobile.,"456 Market St, San Francisco, CA",APPROVED,2025-12-01,2025-10-03,Low budget for position,2,3,"Angular, Node.js, Git"
31,Cloud Architect,Design user-centered interfaces for web and mobile.,"101 High St, Chicago, IL",EXPIRED,2025-11-20,2025-10-11,Needs recruiter confirmation,3,5,"PowerBI, Figma, AWS"
32,Data Analyst,Lead the planning and delivery of new product features.,"456 Market St, San Francisco, CA",PENDING,2025-12-10,2025-08-30,Pending review update,2,6,"MongoDB, Node.js, Kubernetes, REST API, Figma"
33,Frontend Engineer,Architect cloud infrastructure for enterprise solutions.,"789 Broadway, Los Angeles, CA",ACTIVE,2025-12-16,2025-10-25,Unclear job description,4,5,"TypeScript, Linux, Docker, Node.js"
34,Frontend Engineer,Maintain CI/CD pipelines and automate deployments.,"123 Main St, New York, NY",EXPIRED,2025-11-22,2025-10-23,Pending review update,4,9,"React, Node.js, Docker"
35,UI/UX Designer,Ensure software quality through automated testing.,"456 Market St, San Francisco, CA",PENDING,2025-12-04,2025-08-29,Internal check required,1,4,"Kubernetes, MySQL"
36,Full Stack Developer,Analyze large datasets and prepare business insights.,"202 Ocean Ave, Miami, FL",ACTIVE,2025-12-13,2025-10-02,Pending review update,5,3,"Kubernetes, Figma, CI/CD"
37,Frontend Engineer,Responsible for building scalable backend services.,"456 Market St, San Francisco, CA",REJECTED,2025-12-09,2025-09-17,Does not meet requirements,3,8,"AWS, Figma, Angular, CI/CD, PostgreSQL"
38,UI/UX Designer,Architect cloud infrastructure for enterprise solutions.,"202 Ocean Ave, Miami, FL",ACTIVE,2025-12-17,2025-08-30,Needs recruiter confirmation,5,9,"Java, PostgreSQL"
39,Data Analyst,Architect cloud infrastructure for enterprise solutions.,"123 Main St, New York, NY",ACTIVE,2025-12-28,2025-10-08,Pending review update,2,2,"PowerBI, Django, Figma"
40,Frontend Engineer,Develop responsive UI with modern frameworks.,"101 High St, Chicago, IL",REJECTED,2025-12-20,2025-10-22,Security concerns,5,4,"Spring Boot, React, Docker, Node.js, PostgreSQL"
41,Cloud Architect,Develop responsive UI with modern frameworks.,"789 Broadway, Los Angeles, CA",EXPIRED,2025-12-25,2025-09-15,Internal check required,3,3,"Linux, Java, React, MongoDB"
42,DevOps Engineer,Develop responsive UI with modern frameworks.,"123 Main St, New York, NY",PENDING,2025-11-12,2025-10-12,Pending review update,3,1,"Java, CI/CD, React, TypeScript, Docker"
43,Cloud Architect,Architect cloud infrastructure for enterprise solutions.,"101 High St, Chicago, IL",PENDING,2025-11-02,2025-10-25,Needs recruiter confirmation,2,7,"Figma, Linux, Python"
44,UI/UX Designer,Lead the planning and delivery of new product features.,"101 High St, Chicago, IL",EXPIRED,2025-11-30,2025-10-07,Internal check required,2,2,"Django, Java, CI/CD, PostgreSQL"
45,Mobile Developer,Analyze large datasets and prepare business insights.,"456 Market St, San Francisco, CA",EXPIRED,2025-11-08,2025-09-11,Needs recruiter confirmation,5,5,"Git, Node.js, Java, PowerBI, Python"
46,Mobile Developer,Maintain CI/CD pipelines and automate deployments.,"456 Market St, San Francisco, CA",EXPIRED,2025-11-28,2025-10-22,Internal check required,3,9,"React, MySQL"
47,Mobile Developer,Work across frontend and backend to deliver features.,"789 Broadway, Los Angeles, CA",ACTIVE,2025-11-06,2025-10-09,Pending review update,2,6,"Django, MySQL, Python"
48,Data Analyst,Architect cloud infrastructure for enterprise solutions.,"202 Ocean Ave, Miami, FL",REJECTED,2025-11-02,2025-09-29,Unclear job description,4,3,"React, MongoDB"
49,UI/UX Designer,Develop and maintain mobile apps for iOS and Android.,"789 Broadway, Los Angeles, CA",PENDING,2025-12-22,2025-10-03,Internal check required,4,2,"REST API, MongoDB, Kubernetes"
50,Backend Developer,Work across frontend and backend to deliver features.,"202 Ocean Ave, Miami, FL",PAUSED,2025-11-07,2025-09-26,Needs recruiter confirmation,5,5,"REST API, AWS, MySQL, Django, PostgreSQL"
